score_num,movie_name,ranking,score
823997,肖申克的救赎,1,9.6
790671,这个杀手不太冷,2,9.4
588279,霸王别姬,3,9.5
678289,阿甘正传,4,9.4
393632,美丽人生,5,9.5
629946,千与千寻,6,9.2
364357,辛德勒的名单,7,9.4
624085,泰坦尼克号,8,9.2
731897,盗梦空间,9,9.2
480633,机器人总动员,10,9.3
576865,海上钢琴师,11,9.2
640254,三傻大闹宝莱坞,12,9.1
429856,忠犬八公的故事,13,9.2
432004,放牛班的春天,14,9.2
464886,大话西游之大圣娶亲,15,9.2
329418,教父,16,9.2
400709,龙猫,17,9.1
427912,楚门的世界,18,9.0
260989,乱世佳人,19,9.2
298272,天堂电影院,20,9.1
517324,当幸福来敲门,21,8.9
350200,触不可及,22,9.1
391140,搏击俱乐部,23,9.0
162792,十二怒汉,24,9.3
378853,无间道,25,9.0
230263,熔炉,26,9.2
274382,指环王3：王者无敌,27,9.1
516055,怦然心动,28,8.9
317614,天空之城,29,9.0
370578,罗马假日,30,8.9
557543,少年派的奇幻漂流,31,9.0
377632,大话西游之月光宝盒,32,8.9
215667,鬼子来了,33,9.1
457719,星际穿越,34,9.1
301032,蝙蝠侠：黑暗骑士,35,9.0
263175,两杆大烟枪,36,9.0
479574,飞屋环游记,37,8.9
249966,活着,38,9.0
266767,飞越疯人院,39,9.0
210777,窃听风暴,40,9.1
175900,海豚湾,41,9.3
306627,闻香识女人,42,8.9
393067,V字仇杀队,43,8.8
291749,美丽心灵,44,8.9
177650,教父2,45,9.1
329127,哈尔的移动城堡,46,8.8
259229,指环王2：双塔奇兵,47,8.9
289185,指环王1：魔戒再现,48,8.9
462511,天使爱美丽,49,8.7
355318,情书,50,8.8
261748,死亡诗社,51,8.9
165648,美国往事,52,9.1
416743,七宗罪,53,8.7
193304,钢琴家,54,9.0
267752,狮子王,55,8.9
184465,辩护人,56,9.1
261288,被嫌弃的松子的一生,57,8.9
322012,致命魔术,58,8.8
74140,控方证人,59,9.6
284330,勇敢的心,60,8.8
461330,剪刀手爱德华,61,8.7
177388,饮食男女,62,9.0
127702,小鞋子,63,9.2
221059,音乐之声,64,8.9
313946,低俗小说,65,8.7
305287,入殓师,66,8.8
374126,本杰明·巴顿奇事,67,8.7
332428,沉默的羔羊,68,8.7
361616,蝴蝶效应,69,8.7
263597,黑客帝国,70,8.8
221672,拯救大兵瑞恩,71,8.8
159693,素媛,72,9.1
224268,玛丽和马克思,73,8.9
322128,西西里的美丽传说,74,8.7
253308,心灵捕手,75,8.7
221140,幽灵公主,76,8.8
219814,第六感,77,8.8
254431,阳光灿烂的日子,78,8.7
591681,让子弹飞,79,8.7
226598,春光乍泄,80,8.8
236755,大鱼,81,8.7
90405,大闹天宫,82,9.2
259174,射雕英雄传之东成西就,83,8.7
304878,重庆森林,84,8.6
252107,阳光姐妹淘,85,8.8
150101,上帝之城,86,8.9
219461,甜蜜蜜,87,8.7
334190,禁闭岛,88,8.6
296084,致命ID,89,8.6
319139,告白,90,8.6
143979,一一,91,8.9
313466,加勒比海盗,92,8.6
204262,爱在黎明破晓前,93,8.7
112782,狩猎,94,9.0
283231,布达佩斯大饭店,95,8.7
500396,阿凡达,96,8.6
298959,断背山,97,8.6
165027,风之谷,98,8.8
191635,萤火虫之墓,99,8.7
455475,疯狂动物城,100,9.2
80191,摩登时代,101,9.2
186314,爱在日落黄昏时,102,8.7
